
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	won
71	2	0.267889	319088.420700	319088.415400	319368.997900	319368.994800	3	1	0.419603	320369.887500	320369.882800	320792.981400	320792.978100	CCNP001339	1
72	2	0.292024	323296.341200	323296.335100	323593.300400	323593.296900	3	1	0.579260	324594.230700	324594.225900	325177.001600	325176.998200	CCNP001339	0
73	1	0.283945	327680.504800	327680.499600	327969.548100	327969.544700	2	2	2.122970	328970.456800	328970.452200	331096.991400	331096.988200	CCNP001339	1
74	1	0.278850	333601.363700	333601.357800	333896.883900	333896.880600	2	2	0.435627	334897.838500	334897.833500	335336.923700	335336.920400	CCNP001339	0
75	1	0.277862	337841.152900	337841.133900	338129.069900	338129.066800	2	2	0.515468	339130.199900	339130.194700	339649.125900	339649.122600	CCNP001339	1
76	1	0.041068	342153.102000	342153.080000	342209.060100	342209.056800	2	2	0.476054	343209.989700	343209.985000	343689.343600	343689.340100	CCNP001339	1
77	1	0.240247	346192.693500	346192.688200	346441.501100	346441.497700	2	2	0.555401	347442.413200	347442.408400	348001.208600	348001.204800	CCNP001339	1
78	1	0.418982	350504.604500	350504.599200	350937.105900	350937.102500	2	2	0.499371	351938.033600	351938.029000	352440.943100	352440.939900	CCNP001339	1
79	1	0.458117	354944.373500	354944.368300	355409.400600	355409.397100	2	2	0.363358	356410.346200	356410.341200	356777.038700	356777.035100	CCNP001339	1
80	1	0.460598	359280.851500	359280.844300	359745.537500	359745.534200	2	2	0.435110	360746.462600	360746.457300	361185.136700	361185.133400	CCNP001339	0
81	2	0.099646	363688.590700	363688.585400	363800.935600	363800.931900	2	2	0.891761	364801.852200	364801.847400	365697.185900	365697.182700	CCNP001339	1
82	1	0.020390	368201.091700	368201.085800	368225.079700	368225.076400	2	2	0.403809	369226.005700	369226.000300	369633.423800	369633.420300	CCNP001339	1
83	1	0.857133	372137.395700	372137.390800	373008.708300	373008.704600	3	1	1.011998	374009.621200	374009.616500	375024.871500	375024.868100	CCNP001339	0
84	1	0.034918	377528.449300	377528.444200	377569.589100	377569.585500	3	1	0.691355	378570.544400	378570.539800	379265.436600	379265.433100	CCNP001339	0
85	1	0.183658	381769.360800	381769.355200	381968.444700	381968.440400	2	2	0.596087	382969.360200	382969.355300	383568.872800	383568.869500	CCNP001339	1
86	1	0.332279	386072.495600	386072.488700	386416.893100	386416.875100	2	2	0.442400	387417.880600	387417.875700	387864.798600	387864.795000	CCNP001339	0
87	1	0.312095	390368.727800	390368.722000	390696.902800	390696.899700	2	2	0.395066	391697.810700	391697.806000	392096.858400	392096.854800	CCNP001339	1
88	1	0.159459	394601.141000	394601.134100	394777.385500	394777.382100	3	2	1.539678	395778.280200	395778.275100	397321.598100	397321.594700	CCNP001339	1
89	1	0.478473	399824.940600	399824.935300	400313.055000	400313.051900	2	2	0.819450	401314.088100	401314.083400	402137.109400	402137.106400	CCNP001339	1
90	1	0.356827	404640.498600	404640.493300	405008.829000	405008.825400	3	2	0.387028	406009.734100	406009.729400	406400.900700	406400.896400	CCNP001339	1
91	1	0.202068	408904.269200	408904.263900	409120.891900	409120.888200	2	2	0.578942	410121.886900	410121.880500	410704.679100	410704.675600	CCNP001339	0
92	1	0.055510	413208.181400	413208.175500	413273.529000	413273.525700	2	2	0.507492	414274.438300	414274.433500	414785.845300	414785.841100	CCNP001339	1
93	1	0.258995	417289.385000	417289.377600	417560.771300	417560.767700	3	2	1.091270	418561.631800	418561.626600	419657.166400	419657.162100	CCNP001339	1
94	1	0.320950	422160.930200	422160.923700	422488.769200	422488.765500	2	2	0.428046	423489.652900	423489.648100	423921.177500	423921.174400	CCNP001339	1
95	1	0.358348	426424.671700	426424.666400	426793.240700	426793.237400	3	2	0.491304	427794.161000	427794.156400	428288.923600	428288.920400	CCNP001339	0
96	1	0.239983	430792.507900	430792.502600	431041.377200	431041.373800	3	1	0.763411	432042.354100	432042.349300	432809.127100	432809.123600	CCNP001339	0
97	1	0.219857	435312.683400	435312.678300	435537.676900	435537.673400	2	2	0.539115	436538.568800	436538.564000	437081.042000	437081.039000	CCNP001339	0
98	1	0.080107	439584.701500	439584.694600	439681.402500	439681.399100	3	1	0.539172	440682.330700	440682.325900	441225.058000	441225.054900	CCNP001339	0
99	1	0.210328	443728.487200	443728.482100	443945.042800	443945.039700	3	2	0.451965	444945.995500	444945.990500	445401.520900	445401.517100	CCNP001339	0
100	1	0.491171	447905.151500	447905.143900	448409.129800	448409.126600	3	2	1.059495	449410.062100	449410.057400	450472.909600	450472.906400	CCNP001339	1
101	1	1.416055	452976.346600	452976.341200	454401.163900	454401.160600	2	2	0.355139	455402.106100	455402.101100	455760.878100	455760.874900	CCNP001339	0
102	1	0.244833	458264.296600	458264.291200	458513.187100	458513.183700	2	2	2.467131	459514.134000	459514.129000	461985.207100	461985.203500	CCNP001339	1
103	1	0.260060	464488.786300	464488.781000	464761.426000	464761.422600	2	2	0.539251	465762.365800	465762.361000	466305.466700	466305.463400	CCNP001339	1
104	1	0.214617	468808.903400	468808.898000	469032.885600	469032.881800	2	2	0.547409	470034.210900	470034.204100	470585.080500	470585.077200	CCNP001339	0
105	1	0.076029	473088.542400	473088.537600	473177.333300	473177.329900	2	1	0.451256	474178.269600	474178.264400	474632.961100	474632.957800	CCNP001339	1
106	1	0.313269	477137.241400	477137.236500	477465.021200	477465.018100	2	1	0.491627	478465.964800	478465.955900	478961.307600	478961.304100	CCNP001339	1
107	1	0.258613	481465.843900	481465.825100	481728.819100	481728.815800	2	1	0.460488	482729.703000	482729.698200	483193.473100	483193.469600	CCNP001339	0
108	1	0.251728	485697.396500	485697.391100	485953.005300	485953.001800	2	1	0.539790	486953.941700	486953.937100	487497.110600	487497.107400	CCNP001339	1
109	1	0.214853	490001.671900	490001.666300	490232.972600	490232.969500	3	2	1.794385	491234.414200	491234.408200	493032.917700	493032.914500	CCNP001339	0
110	1	2.082106	495537.416200	495537.410800	497633.466300	497633.463000	2	1	1.698336	498634.813500	498634.805400	500336.906800	500336.903800	CCNP001339	1
111	1	0.508886	502840.643600	502840.637900	503360.789400	503360.785900	2	1	0.411801	504361.688700	504361.684300	504776.928600	504776.925400	CCNP001339	1
112	1	0.228819	507280.380500	507280.374900	507513.406500	507513.403300	2	1	0.427307	508514.253600	508514.248400	508945.081400	508945.078400	CCNP001339	0
113	1	0.186834	511449.737900	511449.732800	511641.128400	511641.125300	3	1	0.259963	512642.043100	512642.037800	512905.322800	512905.319500	CCNP001339	1
114	1	0.255148	515409.338200	515409.332900	515673.186600	515673.183400	3	1	0.755843	516674.123900	516674.119200	517433.288300	517433.285100	CCNP001339	1
115	1	0.226007	519938.103600	519938.098000	520177.672900	520177.669500	2	1	0.515010	521178.607100	521178.602100	521697.058700	521697.055600	CCNP001339	0
116	1	0.219365	524200.968100	524200.951700	524425.192900	524425.188700	2	1	0.483535	525426.102300	525426.097600	525912.945000	525912.941800	CCNP001339	0
117	1	0.254579	528418.125100	528418.117100	528689.464100	528689.460600	2	2	0.619498	529690.379000	529690.373900	530313.164400	530313.161000	CCNP001339	0
118	2	0.980132	532816.934800	532816.929500	533801.495400	533801.492100	3	2	0.548002	534802.448300	534802.443300	535353.818900	535353.815700	CCNP001339	0
119	2	0.212107	537858.272500	537858.267100	538080.654900	538080.651200	3	1	0.571998	539081.572400	539081.567300	539657.069600	539657.066500	CCNP001339	1
120	2	0.304788	542161.601700	542161.595900	542472.949400	542472.946300	3	1	0.619884	543473.849100	543473.843800	544097.050100	544097.047000	CCNP001339	0
121	2	0.276586	546600.835900	546600.826900	546881.086900	546881.083300	3	1	0.803475	547882.033100	547882.028200	548689.110000	548689.106500	CCNP001339	1
122	2	0.231716	551193.571600	551193.560000	551433.155300	551433.152100	3	1	0.369625	552434.751800	552434.745700	552808.755600	552808.752000	CCNP001339	0
123	2	0.083170	555313.105100	555313.099500	555401.241000	555401.237700	3	2	0.315376	556402.251600	556402.246400	556721.063100	556721.059700	CCNP001339	1
124	2	0.478105	559224.378400	559224.373300	559713.158900	559713.155600	3	2	0.475523	560714.129700	560714.124700	561193.247100	561193.243600	CCNP001339	0
125	1	0.098091	563697.426900	563697.421600	563800.970200	563800.965400	2	1	0.258874	564801.865700	564801.860900	565064.803400	565064.799900	CCNP001339	0
126	1	0.368081	567568.867800	567568.862500	567952.938400	567952.935300	2	2	0.388411	568953.772600	568953.767700	569345.532700	569345.525400	CCNP001339	0
127	1	0.307325	571849.577900	571849.573000	572161.599000	572161.595600	2	1	0.338959	573162.527400	573162.522500	573504.823000	573504.819900	CCNP001339	0
128	2	0.326374	576008.298700	576008.293500	576344.806400	576344.802700	3	1	0.428306	577345.735500	577345.731000	577777.417200	577777.414000	CCNP001339	1
129	2	0.258658	580280.952400	580280.947000	580544.888300	580544.884800	2	1	0.331902	581545.861100	581545.856400	581881.137300	581881.134100	CCNP001339	0
130	2	0.255961	584385.364600	584385.358800	584657.490900	584657.487600	3	2	0.315651	585658.427700	585658.422600	585977.534900	585977.531600	CCNP001339	1
131	2	0.370481	588482.102900	588482.097700	588857.040000	588857.036800	3	2	0.403631	589857.958700	589857.953800	590264.829000	590264.825600	CCNP001339	1
132	2	0.408194	592769.309600	592769.304400	593193.083400	593193.080200	2	2	0.444441	594193.912500	594193.907500	594641.580200	594641.577100	CCNP001339	0
133	2	0.233259	597146.664200	597146.658900	597384.851700	597384.848000	3	2	0.699872	598385.767400	598385.762600	599089.252700	599089.249200	CCNP001339	0
134	2	1.218781	602938.464500	602938.437000	604160.879600	604160.876500	3	2	0.443825	605161.815600	605161.810600	605609.078200	605609.075200	CCNP001339	0
135	2	0.195357	608113.397400	608113.392100	608313.428800	608313.425500	3	1	0.402998	609314.376100	609314.371300	609720.936800	609720.933600	CCNP001339	1
136	2	0.238166	612225.162400	612225.144100	612473.113900	612473.110800	3	1	0.403462	613474.080200	613474.074500	613880.869100	613880.866100	CCNP001339	0
137	1	0.264167	616384.730800	616384.724200	616665.643500	616665.640100	2	2	0.371461	617666.571600	617666.566300	618041.616600	618041.613400	CCNP001339	1
138	1	0.201477	620545.063000	620545.057800	620753.091100	620753.087800	2	2	0.379089	621761.896500	621761.890700	622144.606400	622144.602600	CCNP001339	1
139	1	0.297927	624649.125800	624649.120700	624953.000400	624952.997100	3	2	0.275208	625953.933400	625953.928500	626232.664600	626232.660900	CCNP001339	0
140	1	0.289705	628737.369900	628737.365100	629041.415300	629041.412100	3	1	0.755233	630042.308900	630042.304400	630800.979100	630800.974900	CCNP001339	1
141	1	0.243084	633304.591200	633304.585800	633561.393100	633561.389800	2	2	0.523452	634562.275700	634562.270400	635088.985000	635088.981800	CCNP001339	1
142	1	0.279844	637592.480300	637592.474800	637881.454200	637881.451000	2	2	0.939093	638882.382200	638882.377100	639824.921900	639824.918800	CCNP001339	0
143	1	0.242237	642329.447700	642329.442500	642577.102000	642577.099000	3	2	0.403831	643578.060100	643578.054900	643985.223100	643985.219900	CCNP001339	0
144	1	0.180050	646489.094300	646489.088800	646681.826300	646681.822900	3	1	0.786542	647682.800600	647682.795300	648472.963600	648472.960500	CCNP001339	0
145	1	0.232227	650977.267100	650977.261800	651217.090300	651217.087200	3	1	0.722929	652218.202800	652218.196900	652945.101800	652945.098800	CCNP001339	1
146	1	0.211315	655448.620200	655448.614800	655665.036100	655665.033000	3	1	0.651324	656665.991400	656665.986800	657320.938100	657320.934800	CCNP001339	1
147	1	0.230387	659824.457100	659824.451900	660065.607200	660065.603900	2	2	0.546783	661066.546600	661066.541300	661616.841200	661616.838100	CCNP001339	1
148	1	0.385769	664121.785700	664121.780500	664520.949500	664520.946200	3	1	0.651078	665521.902700	665521.897500	666176.746600	666176.743200	CCNP001339	1
149	2	0.252009	668680.144100	668680.139000	668937.140000	668937.136600	3	1	0.603668	669938.075400	669938.070700	670545.195100	670545.191900	CCNP001339	1
150	1	0.387484	673049.058300	673049.052900	673441.539200	673441.536000	2	2	0.363313	674442.478300	674442.473700	674809.053100	674809.050000	CCNP001339	0
151	2	0.242110	677312.496200	677312.490500	677560.856400	677560.852900	3	1	0.348526	678561.768200	678561.763200	678913.460900	678913.457500	CCNP001339	0
152	1	0.234273	681416.932400	681416.927200	681657.316300	681657.312300	2	2	0.595706	682658.185500	682658.180800	683257.216400	683257.213300	CCNP001339	0
153	1	0.007705	685761.863900	685761.858400	685777.286700	685777.282200	2	1	0.347782	686778.231800	686778.226500	687129.433800	687129.430600	CCNP001339	0
154	2	0.043376	689632.976400	689632.971200	689681.001200	689680.997900	3	1	0.444062	690681.874100	690681.869100	691129.646700	691129.643000	CCNP001339	0
155	2	0.322441	693633.462300	693633.457000	693960.952400	693960.949200	3	2	0.443939	694961.935300	694961.929900	695409.235100	695409.232000	CCNP001339	0
156	1	0.234696	697912.845500	697912.839900	698152.867700	698152.864300	2	1	0.324296	699153.756400	699153.751500	699481.640300	699481.637000	CCNP001339	1
157	1	0.198514	701986.093000	701986.087900	702201.336000	702201.331700	3	1	0.426630	703202.278700	703202.274100	703632.803100	703632.799500	CCNP001339	1
158	1	0.232442	706138.306300	706138.299800	706384.928800	706384.925000	2	1	0.316117	707386.022400	707386.016900	707705.335500	707705.332000	CCNP001339	0
159	1	0.239148	710209.382300	710209.377100	710457.454400	710457.451000	3	1	1.019212	711458.359100	711458.354300	712481.029900	712481.026500	CCNP001339	0
160	1	0.327624	714984.935100	714984.928100	715329.308000	715329.304500	2	1	1.842604	716330.235000	716330.230200	718176.819900	718176.816200	CCNP001339	1
161	1	0.531972	720680.509600	720680.504300	721216.914700	721216.911100	2	1	0.618645	722218.269200	722218.263700	722840.876800	722840.873800	CCNP001339	1
162	1	0.225355	725345.838200	725345.810500	725577.055600	725577.052200	2	1	0.508070	726578.044200	726578.039600	727089.610300	727089.607000	CCNP001339	0
163	1	0.422958	729593.497100	729593.491700	730024.715700	730024.712200	2	2	0.475346	731025.596700	731025.592100	731504.820600	731504.817000	CCNP001339	0
164	1	0.103100	734009.015900	734009.010700	734121.458700	734121.455400	2	1	0.323639	735122.458300	735122.453400	735449.580600	735449.577200	CCNP001339	0
165	2	0.504956	737953.166200	737953.158600	738473.456600	738473.453300	2	1	1.083039	739474.454900	739474.450300	740560.957300	740560.954300	CCNP001339	0
166	2	0.058357	743065.525000	743065.517800	743129.453000	743129.449000	3	1	0.850455	744130.420200	744130.415400	744985.055500	744985.051200	CCNP001339	1
167	2	1.331183	747488.505700	747488.500600	748833.088100	748833.085100	3	1	0.635223	749833.976000	749833.970800	750473.067500	750473.064400	CCNP001339	0
168	2	0.143077	752976.274900	752976.269500	753129.128700	753129.124300	3	2	0.611510	754130.078000	754130.073500	754744.944000	754744.940700	CCNP001339	0
169	2	0.403762	757248.576800	757248.571700	757656.868400	757656.865200	2	1	0.459165	758657.855100	758657.849900	759121.371900	759121.367500	CCNP001339	0
170	2	0.230266	761625.451000	761625.446000	761865.487800	761865.484400	2	2	0.570905	762866.457900	762866.453000	763440.928900	763440.925700	CCNP001339	0
171	2	0.240469	765944.431600	765944.426500	766192.814000	766192.810400	3	1	0.299964	767193.798800	767193.793800	767497.230700	767497.227600	CCNP001339	0
172	1	0.270943	770002.156600	770002.151100	770289.586800	770289.583500	3	1	0.746262	771290.535900	771290.530900	772040.841000	772040.837400	CCNP001339	1
173	1	0.240996	774544.333400	774544.328000	774793.030400	774793.027200	2	1	0.628253	775793.867000	775793.860100	776425.430300	776425.427100	CCNP001339	1
174	1	0.233188	778930.280500	778930.275400	779168.645000	779168.641400	2	1	0.331976	780169.569100	780169.564300	780505.008700	780505.005600	CCNP001339	1
175	1	0.077664	783009.596600	783009.591600	783097.094600	783097.090500	3	1	0.603771	784098.069500	784098.060600	784705.342100	784705.338800	CCNP001339	1
176	1	0.143249	787210.022500	787210.017800	787361.707000	787361.703600	2	1	0.315323	788362.664200	788362.659500	788681.427900	788681.424500	CCNP001339	1
177	1	0.239045	791185.648000	791185.642800	791441.006900	791441.003800	2	1	0.476066	792441.936400	792441.931800	792921.348000	792921.344400	CCNP001339	0
178	1	0.318453	795425.810200	795425.791700	795753.677300	795753.673900	2	1	0.610423	796754.607600	796754.602800	797368.865800	797368.862200	CCNP001339	0
179	1	0.268257	799873.256800	799873.250700	800153.217900	800153.214800	2	1	1.483438	801154.192700	801154.186100	802641.116700	802641.113400	CCNP001339	1
180	1	0.305219	805145.221800	805145.215700	805457.028900	805457.025600	3	1	1.586811	806457.965000	806457.960600	808049.063500	808049.059100	CCNP001339	0
181	1	0.273390	810553.312600	810553.307400	810841.886000	810841.882900	3	1	0.570659	811842.889400	811842.884600	812416.976500	812416.973200	CCNP001339	1
