
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	won
16	1	0.185038	63091.304400	63091.285200	63283.097100	63283.094000	3	1	0.235581	64284.231200	64284.211100	64523.253700	64523.250300	CCNP001684	1
17	1	0.251440	67026.719400	67026.714200	67283.111200	67283.107800	2	1	0.227891	68284.151300	68284.146600	68515.340700	68515.337500	CCNP001684	1
18	1	0.139803	71018.988100	71018.982900	71171.501200	71171.497700	3	1	0.227640	72172.586700	72172.581100	72403.739000	72403.735500	CCNP001684	1
19	1	0.176345	74907.350500	74907.344900	75091.260200	75091.257100	3	1	0.179989	76092.348700	76092.343500	76275.647600	76275.644100	CCNP001684	1
20	2	0.162251	78779.433400	78779.427700	78947.781000	78947.776400	2	1	0.258965	79948.826600	79948.821300	80211.273900	80211.270700	CCNP001684	0
21	2	0.032201	82715.031800	82715.026300	82763.960000	82763.954500	3	1	0.299173	83765.144100	83765.139000	84067.797700	84067.794400	CCNP001684	1
22	2	0.222571	86571.384100	86571.377600	86803.948200	86803.944800	3	1	0.258757	87805.093900	87805.088400	88067.375800	88067.372600	CCNP001684	1
23	2	0.214388	90571.033800	90571.027100	90795.775500	90795.772200	3	1	0.243538	91796.820400	91796.814900	92043.746100	92043.742900	CCNP001684	0
24	2	0.236464	94547.818000	94547.811700	94787.435700	94787.431900	3	1	0.243279	95788.601200	95788.596000	96035.282100	96035.278900	CCNP001684	1
25	2	0.248012	98538.722900	98538.717800	98796.931000	98796.926500	3	1	0.192752	99798.132300	99798.126400	99995.147600	99995.144100	CCNP001684	1
26	2	0.112686	102498.825400	102498.819500	102627.478900	102627.475400	3	1	0.138549	103628.598800	103628.580600	103771.435100	103771.430800	CCNP001684	1
27	2	0.169719	106274.805800	106274.800700	106451.348900	106451.345800	2	1	0.195438	107452.469100	107452.450300	107651.200400	107651.197300	CCNP001684	1
28	1	0.038751	110154.783900	110154.777700	110203.415900	110203.412600	2	1	0.211586	111204.663800	111204.658600	111419.462200	111419.459100	CCNP001684	1
29	1	0.215549	113923.080500	113923.075600	114147.548400	114147.542700	2	1	0.210646	115148.707700	115148.702300	115363.116000	115363.112400	CCNP001684	1
30	1	0.321724	117867.584900	117867.579500	118203.391200	118203.386800	3	1	0.235328	119204.604700	119204.599800	119443.372100	119443.368900	CCNP001684	0
31	2	0.364929	121946.814700	121946.808700	122315.325300	122315.321800	3	2	0.218656	123316.472100	123316.466600	123539.176100	123539.172600	CCNP001684	0
32	1	0.211409	126043.096100	126043.090800	126259.584600	126259.581400	2	1	0.203794	127260.764700	127260.759500	127467.694000	127467.690700	CCNP001684	1
33	1	0.206126	129971.180900	129971.175300	130187.518900	130187.515500	2	1	0.227359	131188.669600	131188.664400	131419.297900	131419.294800	CCNP001684	0
34	1	0.207058	133922.924000	133922.918900	134139.177900	134139.174500	2	2	0.244000	135140.398200	135140.393000	135387.643300	135387.639900	CCNP001684	0
35	2	0.256364	137891.254100	137891.248400	138155.121000	138155.117500	2	1	0.196030	139156.323600	139156.317800	139355.578500	139355.575100	CCNP001684	0
36	2	0.194396	141859.328600	141859.323500	142059.348200	142059.345100	2	2	0.411762	143060.562700	143060.557600	143475.481300	143475.478200	CCNP001684	1
37	2	0.355215	145979.063800	145979.058700	146339.650900	146339.647700	3	1	0.810518	147340.787800	147340.782600	148155.423500	148155.419400	CCNP001684	1
38	2	0.218856	150659.051800	150659.046500	150883.926500	150883.923400	3	1	0.354868	151885.033000	151885.027700	152243.184300	152243.181100	CCNP001684	0
39	1	0.204791	154746.883300	154746.878200	154955.811300	154955.807500	3	2	0.243087	155957.034300	155957.029300	156203.440500	156203.437100	CCNP001684	1
40	1	0.216187	158707.050900	158707.045900	158931.441000	158931.435100	2	2	0.251673	159932.590000	159932.584800	160187.341400	160187.338200	CCNP001684	0
