
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	won
41	1	0.298273	179319.710400	179319.704900	179632.148200	179632.144000	2	1	0.315548	180633.267000	180633.261200	180952.253500	180952.250300	CCNP001689	1
42	1	0.309970	183455.740400	183455.735400	183775.931800	183775.928700	2	1	0.420130	184777.043500	184777.038400	185200.480400	185200.477100	CCNP001689	0
43	1	0.387852	187703.900300	187703.894700	188103.805100	188103.802000	3	1	0.275347	189105.025500	189105.020400	189383.755800	189383.752700	CCNP001689	0
44	1	0.236737	191887.457800	191887.452800	192136.250500	192136.247300	3	1	0.339521	193137.456100	193137.450800	193480.429500	193480.426200	CCNP001689	1
45	1	0.360256	195984.294000	195984.287800	196359.733500	196359.726400	3	1	0.459467	197360.975800	197360.970300	197823.665900	197823.662800	CCNP001689	0
46	1	0.499095	200327.323300	200327.318500	200831.992800	200831.986100	2	1	0.299242	201833.114300	201833.109100	202135.881100	202135.877900	CCNP001689	1
47	1	0.422565	204639.624600	204639.619700	205072.104700	205072.101400	2	1	0.635122	206073.306100	206073.301000	206711.752000	206711.748800	CCNP001689	0
48	1	0.332510	209216.014500	209216.007000	209551.715400	209551.712300	2	1	0.868332	210552.840200	210552.835200	211424.382900	211424.379600	CCNP001689	1
49	1	0.482367	213928.243500	213928.238400	214415.572100	214415.567800	2	1	0.555942	215416.733800	215416.728700	215976.089500	215976.086200	CCNP001689	1
50	1	0.339706	218479.797100	218479.788600	218823.744000	218823.740900	3	1	0.563811	219824.886100	219824.880900	220392.110000	220392.106600	CCNP001689	1
51	1	0.356750	222895.711400	222895.706300	223256.693000	223256.689500	2	1	0.561326	224259.013900	224258.994300	224823.739700	224823.736400	CCNP001689	1
52	1	0.483495	227327.213500	227327.208600	227816.497500	227816.493200	2	1	0.674503	228817.677400	228817.672400	229496.017100	229496.013800	CCNP001689	1
53	1	0.287884	232000.146900	232000.140900	232303.907300	232303.904100	2	1	0.363326	233305.168200	233305.163300	233671.787900	233671.784800	CCNP001689	1
54	1	0.384949	236175.599100	236175.593300	236567.540300	236567.536900	2	1	0.331580	237568.696200	237568.691300	237903.635700	237903.632300	CCNP001689	1
55	1	0.318799	240407.285800	240407.281000	240735.597200	240735.593600	2	1	0.347420	241736.823900	241736.818400	242087.659000	242087.655900	CCNP001689	1
56	1	0.304254	244591.541900	244591.531500	244903.832700	244903.829600	2	1	0.643370	245905.053400	245905.048300	246551.745300	246551.742200	CCNP001689	1
57	1	0.540614	249055.340700	249055.335800	249607.662600	249607.659100	2	1	0.427440	250608.857500	250608.852200	251039.643100	251039.639900	CCNP001689	1
58	1	0.617547	253543.363700	253543.358400	254167.563500	254167.560000	2	1	2.258828	255168.829700	255168.824700	257431.608100	257431.604000	CCNP001689	1
59	1	0.514027	259935.495400	259935.490300	260463.628500	260463.625500	2	1	1.682861	261464.894000	261464.888800	263151.655600	263151.652400	CCNP001689	1
60	1	0.572844	265655.702800	265655.696900	266240.115100	266240.110800	3	1	0.947433	267241.346800	267241.341600	268192.158000	268192.154600	CCNP001689	1
61	1	0.739771	270696.106800	270696.101100	271440.205400	271440.202100	2	1	0.683434	272441.431200	272441.426000	273128.257600	273128.254400	CCNP001689	0
62	1	0.603378	275631.867600	275631.862300	276240.105200	276240.100700	3	1	0.803514	277241.342300	277241.337100	278048.265000	278048.261700	CCNP001689	0
63	1	0.273646	280552.181500	280552.176400	280839.876000	280839.873000	2	1	0.306475	281841.355900	281841.350700	282151.865100	282151.862000	CCNP001689	1
64	1	0.261710	284655.210300	284655.205400	284928.019000	284928.015400	3	1	0.282432	285928.906700	285928.901700	286215.634700	286215.630300	CCNP001689	1
65	1	0.355144	288718.988600	288718.983500	289087.927700	289087.924500	2	1	0.219924	290088.857500	290088.852800	290312.091700	290312.088400	CCNP001689	0
66	2	0.394967	292815.737000	292815.729500	293216.001900	293215.998200	3	1	0.331493	294216.895000	294216.890500	294551.848500	294551.845500	CCNP001689	1
67	0	0.000000	383020.642800	383020.637300	0.000000	0.000000
68	1	0.718557	387023.604900	387023.600100	387751.689400	387751.686200	2	1	0.395013	388752.650800	388752.645500	389151.610100	389151.606600	CCNP001689	1
69	1	0.572747	391655.039900	391655.035100	392239.792300	392239.788000	3	1	0.530953	393240.658400	393240.653700	393776.141000	393776.136800	CCNP001689	0
70	1	0.292164	396279.709200	396279.702700	396575.968000	396575.964800	3	1	0.403768	397576.866500	397576.861500	397984.002700	397983.999300	CCNP001689	1
71	1	0.299990	400487.569700	400487.564500	400799.630500	400799.627400	2	1	0.595783	401800.531900	401800.527200	402399.785500	402399.782100	CCNP001689	1
72	2	0.363176	404903.578500	404903.572300	405279.671600	405279.668400	2	1	0.220129	406280.569600	406280.564900	406504.335400	406504.332100	CCNP001689	1
73	2	0.398468	409007.558400	409007.553900	409415.838800	409415.835100	3	2	0.290972	410416.711300	410416.706800	410711.636100	410711.632400	CCNP001689	1
74	1	0.276435	413215.140400	413215.126300	413496.076700	413496.073200	2	1	0.395682	414496.966900	414496.962100	414896.126700	414896.123400	CCNP001689	1
75	2	0.327679	417399.684300	417399.678500	417744.325000	417744.321700	3	1	0.330448	418745.215700	418745.211000	419079.697600	419079.694100	CCNP001689	1
76	2	0.408362	421583.433200	421583.425800	422008.160800	422008.157500	2	1	0.315563	423009.019900	423009.014900	423327.852200	423327.849000	CCNP001689	1
77	2	0.300046	425831.012000	425831.006400	426135.817100	426135.813900	2	1	0.515012	427136.718900	427136.713600	427656.042300	427656.037900	CCNP001689	1
78	2	0.345136	430159.438000	430159.433100	430511.759800	430511.756300	2	2	0.267004	431512.763400	431512.758500	431783.569600	431783.566000	CCNP001689	0
79	2	0.275783	434286.996100	434286.991100	434575.857000	434575.853800	3	1	0.252575	435576.756600	435576.751900	435832.867600	435832.864400	CCNP001689	1
80	2	0.369444	438336.242200	438336.236900	438719.869800	438719.865600	2	1	0.387795	439720.741100	439720.736300	440112.017400	440112.014300	CCNP001689	1
81	2	0.387590	442615.490300	442615.485100	443007.779000	443007.775400	3	1	0.364313	444008.680600	444008.676200	444376.495000	444376.491700	CCNP001689	0
82	2	0.276022	446879.850400	446879.845300	447159.988200	447159.985100	3	2	0.299481	448160.862100	448160.857100	448463.796700	448463.793500	CCNP001689	1
83	2	0.377443	450967.242000	450967.236700	451360.665600	451360.662300	3	2	0.507077	452361.562500	452361.557700	452872.119400	452872.116000	CCNP001689	0
84	2	0.536596	455375.623900	455375.618900	455919.663400	455919.659900	3	2	0.587741	456920.594800	456920.590000	457511.816700	457511.813700	CCNP001689	0
85	2	0.571881	460015.358100	460015.352000	460592.417100	460592.413900	2	2	0.699010	461593.563500	461593.545500	462296.194700	462296.191300	CCNP001689	1
86	2	0.471478	464800.834400	464800.829100	465287.972700	465287.969300	3	2	0.284122	466288.782800	466288.778200	466576.313700	466576.310400	CCNP001689	1
87	1	0.483301	469079.663100	469079.658100	469568.311300	469568.308000	2	1	0.258616	470569.221100	470569.216400	470832.101400	470832.082200	CCNP001689	0
88	1	0.274147	473335.827900	473335.822700	473624.094000	473624.090700	2	1	0.451716	474625.008700	474625.004000	475080.243500	475080.240100	CCNP001689	1
89	1	0.383245	477583.909900	477583.903600	477983.721100	477983.717600	3	1	0.643185	478984.573400	478984.568800	479632.097300	479632.093200	CCNP001689	1
90	1	0.722054	482135.657300	482135.651000	482872.220900	482872.217500	2	1	1.852067	483873.097500	483873.092700	485728.533300	485728.530100	CCNP001689	1
91	1	0.605696	488233.093600	488233.086900	488855.759900	488855.756700	2	1	0.483861	489856.710600	489856.704800	490344.061500	490344.058400	CCNP001689	0
92	2	0.275632	492847.523400	492847.516900	493128.648000	493128.644600	3	1	0.218716	494129.530200	494129.525600	494351.807000	494351.788800	CCNP001689	0
93	2	0.108407	496855.396000	496855.391100	496975.998500	496975.994300	3	2	0.314922	497976.851600	497976.847100	498295.678100	498295.674600	CCNP001689	0
94	1	0.053415	500799.411300	500799.403300	500856.477900	500856.474600	2	1	0.227260	501857.374000	501857.369400	502088.019100	502088.016100	CCNP001689	0
95	2	0.383999	504591.548200	504591.541900	504983.916900	504983.913800	2	1	0.227924	505984.811600	505984.807000	506216.249900	506216.246300	CCNP001689	1
96	1	0.210923	508719.703100	508719.697500	508944.120500	508944.117400	2	1	0.339356	509945.053600	509945.049200	510287.897700	510287.894600	CCNP001689	1
97	1	0.264551	512791.400200	512791.394400	513064.474000	513064.470600	2	1	0.290533	514065.315200	514065.310900	514359.957900	514359.954800	CCNP001689	0
98	2	0.268362	516863.410900	516863.405100	517135.987700	517135.984400	3	2	0.300088	518136.789000	518136.784400	518440.195800	518440.192500	CCNP001689	1
99	2	0.642129	520943.546100	520943.541100	521592.135000	521592.131700	3	2	0.323746	522593.039000	522593.033900	522920.135600	522920.132300	CCNP001689	1
100	2	0.398799	525423.440600	525423.435600	525832.010300	525832.007100	3	2	0.331662	526833.169300	526833.163000	527168.580400	527168.577100	CCNP001689	0
101	1	0.324368	529672.039100	529672.034100	530007.743600	530007.740500	3	1	0.227842	531008.670200	531008.664800	531239.944700	531239.941500	CCNP001689	1
